"start_date","end_date","grubhub_store_id","store_number","store_name","street_address","city","state","postal_code","total_orders","adjusted_orders","adjusted_orders_rate","total_canceled_orders","total_canceled_orders_rate","avoidable_canceled_orders","avoidable_canceled_orders_rate","gross_subtotal_sales","adjusted_subtotal_sales","total_canceled_orders_subtotal_sales","avoidable_canceled_orders_subtotal_sales","subtotal_sales_after_adjustments_and_cancels","new_customer_orders","new_customer_orders_rate","gh_plus_customer_orders","gh_plus_customer_orders_rate","pick_up_orders","self_delivery_orders","grubhub_delivery_orders","avg_driver_time_at_store","avg_avoidable_driver_wait_time","avg_delivery_route_time","avg_order_to_delivery_time","ratings_all","ratings_5_stars","ratings_4_stars","ratings_3_stars","ratings_2_stars","ratings_1_star","reviews"
"2025-09-22","2025-10-05","2900806",,"The Shawarma Bar (Polk St)","1338 Polk St  ","San Francisco","CA","94109","7","0",,"0",,"0",,"249.38","0.00","0.00","0.00","249.38","5","0.714","5","0.714","0","0","7","00:08:12.000","00:05:06.000","00:19:54.000","00:46:36.000","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","3344172","916 Hempstead Turnpike","Casa De Quesadilla","916 Hempstead Turnpike  ","Franklin Square","NY","11010","2","0",,"0",,"0",,"49.76","0.00","0.00","0.00","49.76","2","1.000","1","0.500","0","0","2","00:03:00.000","00:00:00.000","00:27:30.000","00:42:30.000","1","0","1","0","0","0","1"
"2025-09-22","2025-10-05","2794878",,"The Chinese Noodle Palace","9737 Manchester Rd  ","St. Louis","MO","63119","5","0",,"0",,"0",,"103.60","0.00","0.00","0.00","103.60","2","0.400","5","1.000","0","0","5","00:02:30.000","00:02:00.000","00:18:37.800","00:46:00.000","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","6891048","Caffe Venice - 596 3rd Ave","Smokin' Burger Grille","596 3rd Ave  ","New York","NY","10016","2","0",,"0",,"0",,"33.96","0.00","0.00","0.00","33.96","0",,"2","1.000","0","0","2","00:13:00.000","00:02:30.000","00:09:00.000","00:28:00.000","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","6891024","Caffe Venice - 596 3rd Ave","CJ's Breakfast Sandwich","596 3rd Ave  ","New York","NY","10016","7","0",,"1","0.143","1","0.143","103.97","0.00","-11.29","-11.29","92.68","3","0.429","7","1.000","0","0","7","00:07:40.200","00:00:30.000","00:07:40.200","00:23:40.200","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","3310455","Fulton St","The Pancake Flip","1237 Fulton St  ","Brooklyn","NY","11216","6","1","0.167","0",,"0",,"197.83","-39.15","0.00","0.00","158.68","4","0.667","2","0.333","0","0","6","00:06:00.000","00:02:00.000","00:13:30.000","00:30:49.800","1","0","0","0","0","1","0"
"2025-09-22","2025-10-05","9816392","2rd","The Smoothie Squeeze","296 3rd Ave  ","New York","NY","10010","23","0",,"0",,"0",,"267.10","0.00","0.00","0.00","267.10","1","0.043","23","1.000","0","0","23","00:06:39.600","00:04:01.800","00:09:04.800","00:28:29.400","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","1171341",,"Italian Pasta Trattoria","122 E 57th St  ","New York","NY","10022","1","0",,"0",,"0",,"29.99","0.00","0.00","0.00","29.99","1","1.000","1","1.000","0","1","0",,,,,"0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","2776710",,"The Ice Cream Lab (1st Avenue)","937 1st Avenue  ","New York","NY","10022","2","0",,"0",,"0",,"39.92","0.00","0.00","0.00","39.92","2","1.000","1","0.500","0","0","2","00:12:00.000","00:07:30.000","00:09:00.000","00:30:00.000","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","6891720","Wholesome Farms Market - 1306 Atlantic Ave","Green Leaf Salads","1306 Atlantic Ave  ","Brooklyn","NY","11216","12","0",,"0",,"0",,"238.69","0.00","0.00","0.00","238.69","4","0.333","10","0.833","0","0","12","00:15:17.400","00:08:34.799","00:17:27.599","00:43:51.000","0","0","0","0","0","0","0"
