"menu_item_category_name","menu_item_name","quantity_sold","item_sales","total_orders","new_customer_quantity_sold","new_customer_item_sales","new_customer_orders","loyal_customer_quantity_sold","loyal_customer_item_sales","loyal_customer_orders"
"Sides","Coffee Cake","1","5.99","1","1","5.99","1","0","0.00","0"
"Pressed
Panini's","Classic Ham & Swiss Panini","1","9.79","1","1","9.79","1","0","0.00","0"
"Stir-Fry Greatest Hits","Moo Goo Gai Pan Chicken","1","18.29","1","0","0.00","0","1","18.29","1"
"The Ice Cream","Ben & Jerry's Ice Cream Phish Food","1","9.89","1","1","9.89","1","0","0.00","0"
"Small Bites","Egg Drop Soup","1","3.59","1","1","3.59","1","0","0.00","0"
"Desserts","Brownies (2)","2","21.98","2","0","0.00","0","0","0.00","0"
"The Omelette Snob","Western Omelette","1","14.98","1","0","0.00","0","0","0.00","0"
"Sweet Griddle Favorites","Blueberry Pancakes","1","12.59","1","1","12.59","1","0","0.00","0"
"Griddle Cakes","Pancakes & Sausage","1","12.69","1","1","12.69","1","0","0.00","0"
"Tasty Street Tacos","Al Pastor Tacos","2","6.98","1","0","0.00","0","0","0.00","0"
"Ali's Halal Sides","Hummus with Bread","1","6.99","1","1","6.99","1","0","0.00","0"
"Specials","Penne Primavera","1","13.29","1","0","0.00","0","0","0.00","0"
"Cold Subs","Roast Beef Sub","2","36.76","1","0","0.00","0","0","0.00","0"
"Homemade Indian Breads","Garlic Naan","1","4.99","1","0","0.00","0","0","0.00","0"
"House of Bánh Mì","Lemongrass Chicken Bánh Mì ","1","14.88","1","1","14.88","1","0","0.00","0"
"Side Orders","Side of Ranch","1","1.49","1","0","0.00","0","0","0.00","0"
"Salad Bar","Veggie Delight Salad","1","13.38","1","0","0.00","0","1","13.38","1"
"Quesadilla Shop","Steak Quesadilla","2","43.98","1","2","43.98","1","0","0.00","0"
"Tasty Street Tacos","Chicken Tacos","1","3.49","1","0","0.00","0","0","0.00","0"
"Quesadilla Bar","Four Cheese Quesadilla","4","57.85","4","2","32.47","2","1","12.69","1"
"Cheesy Quesadillas","Bacon and Cheddar Quesadilla","2","27.98","2","1","13.99","1","1","13.99","1"
"Sides","Yasai Gyoza","1","8.79","1","0","0.00","0","0","0.00","0"
"The Desserts","The Apple Pie","1","21.18","1","0","0.00","0","0","0.00","0"
"Satisfying Sides","Bacon Cheese Fries","2","16.57","2","1","9.88","1","0","0.00","0"
"Stir-Fry Greatest Hits","Beef Pepper Steak","1","23.28","1","0","0.00","0","0","0.00","0"
"Smoothies","Berry Bliss Smoothie","1","11.18","1","1","11.18","1","0","0.00","0"
"Griddle Bar","The Chocolate Chip Pancakes","1","8.58","1","0","0.00","0","0","0.00","0"
"Breakfast Burrito Bar","Bacon Breakfast Burrito","1","11.29","1","0","0.00","0","0","0.00","0"
"Grilled Cheese Sandwiches","Grilled Mozzarella Cheese Sandwich","2","9.78","2","0","0.00","0","0","0.00","0"
"Dessert Bar ","Carrot Cake","1","10.99","1","1","10.99","1","0","0.00","0"
"Ravishing Ramen","Miso Ramen","2","30.07","2","0","0.00","0","1","15.38","1"
"Sides","Fried Zucchini","1","16.79","1","0","0.00","0","0","0.00","0"
"The Burger Spot","The Paradise Burger","1","23.98","1","0","0.00","0","0","0.00","0"
"Extras","Raita","1","5.99","1","0","0.00","0","1","5.99","1"
"Better For Breakfast","French Toast (3)","1","8.49","1","1","8.49","1","0","0.00","0"
"Hearty Deli Heroes","Chipotle Chicken Hero","2","24.47","2","1","11.19","1","0","0.00","0"
"Fresh Made Fruit Smoothies","Green Land Smoothie","1","8.58","1","1","8.58","1","0","0.00","0"
"Between the Bun","Bacon Cheeseburger","5","99.58","5","2","42.86","2","2","41.34","2"
"Dessert","Giant Black and White Cookie","2","7.18","1","2","7.18","1","0","0.00","0"
"Delicious Starters and Snacks","Curly Fries","4","27.96","4","1","6.99","1","0","0.00","0"
"That's a Wrap!","Chipotle Chicken Wrap","1","11.19","1","1","11.19","1","0","0.00","0"
"Dessert Delights","Fresh Baked Cannoli","1","6.99","1","0","0.00","0","0","0.00","0"
"Mediterranean-Style Plates","Beef Kebab Plate","1","34.99","1","1","34.99","1","0","0.00","0"
"Breakfast Quesadillas","Chorizo, Egg & Cheese Quesadilla","1","19.58","1","0","0.00","0","0","0.00","0"
