"start_date","end_date","grubhub_store_id","store_number","store_name","street_address","city","state","postal_code","total_orders","subtotal_sales","self_delivery_charge","merchant_fees","sales_tax","tip","merchant_total","commission","delivery_commission","gh_plus_commission","order_processing_fee","withheld_sales_tax","merchant_funded_promotion_and_loyalty","merchant_net_total"
"2025-09-22","2025-10-05","2643485",,"Danny's Desserts ","2624 Pico Blvd   #1B","Santa Monica","CA","90405","5","81.82","0.00","0.00","5.83","0.00","87.65","-12.27","-8.19","0.00","-3.40","0.00","-25.00","38.79"
"2025-09-22","2025-10-05","3312216","Broadway","Jewel's Breakfast Joint","3360 Broadway  ","New York","NY","10031","3","56.62","0.00","0.00","4.49","0.00","61.11","-8.49","-5.67","0.00","-2.57","0.00","-6.00","38.38"
"2025-09-22","2025-10-05","8570120",,"Manchester Pancake Co.","128 E 4th St  ","New York","NY","10003","13","359.91","0.00","0.00","26.55","0.00","386.46","-53.99","-36.02","0.00","-13.82","0.00","-61.01","221.62"
"2025-09-22","2025-10-05","2796118",,"The Dumpling Snob","9737 Manchester Rd  ","St. Louis","MO","63119","8","243.37","0.00","0.00","8.81","0.00","252.18","-36.52","-24.35","0.00","-8.72","0.00","-35.00","147.59"
"2025-09-22","2025-10-05","3310203","9th Ave","The Juice Empire","755 9th Ave  ","New York","NY","10019","3","74.49","0.00","0.00","5.56","0.00","80.05","-11.17","-7.46","0.00","-2.97","0.00","-12.00","46.45"
"2025-09-22","2025-10-05","7752192","DC Taco & Wings - 1406 Florida Ave NW","First Light Breakfast Cafe","1406 Florida Ave NW  ","Washington","DC","20009","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"2025-09-22","2025-10-05","3301109","9th Ave","Molly's Chicken Wings","468 9th Ave  ","New York","NY","10018","1","55.23","0.00","0.00","4.46","0.00","59.69","-8.28","-5.52","0.00","-1.97","0.00","-5.00","38.92"
"2025-09-22","2025-10-05","11789272","125th St","Hyde's Grilled Cheese","135 E 125th St  ","New York","NY","10035","1","23.08","0.00","0.00","1.54","0.00","24.62","-3.46","-2.31","0.00","-0.87","0.00","-5.77","12.21"
"2025-09-22","2025-10-05","2407121",,"The Burger Bae","217 1st Avenue  ","New York","NY","10003","1","16.98","0.00","0.00","1.06","0.00","18.04","-2.55","-1.70","0.00","-0.70","0.00","-5.00","8.09"
"2025-09-22","2025-10-05","9797968","4352 E Speedway Blvd","Antonio's Quesadilla Shack","4352 E Speedway Blvd  ","Tucson","AZ","85712","5","104.13","0.00","0.00","6.90","0.00","111.03","-15.61","-10.42","0.00","-4.13","0.00","-25.00","55.87"
