"order_channel","order_number","transaction_date","transaction_time_local","order_time_zone","grubhub_store_id","store_number","store_name","street_address","city","state","postal_code","transaction_type","fulfillment_type","gh_plus_customer","subtotal","subtotal_sales_tax","subtotal_sales_tax_exemption","self_delivery_charge","self_delivery_charge_tax","self_delivery_charge_tax_exemption","merchant_service_fee","merchant_service_fee_tax","merchant_service_fee_tax_exemption","merchant_flexible_fee_bag_fee","merchant_flexible_fee_bag_fee_tax","merchant_flexible_fee_bag_fee_tax_exemption","merchant_flexible_fee_pif_fee","merchant_flexible_fee_pif_fee_tax","merchant_flexible_fee_pif_fee_tax_exemption","tip","merchant_total","commission","delivery_commission","gh_plus_commission","processing_fee","withheld_tax","withheld_tax_exemption","merchant_funded_promotion","merchant_funded_loyalty","merchant_net_total","transaction_note","transaction_id"
"Marketplace","809231240531442","2025-10-03","12:43:00 PM","America/Los_Angeles","5853656","S Las Posas","The Sandwich Vibe","137 S Las Posas Rd #153  ","San Marcos","CA","92078","Prepaid Order","Grubhub Delivery","GH+","22.08","1.49","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","23.57","-3.31","-2.21","0.00","-0.87","0.00","0.00","-5.00","0.00","12.18",,"BwEAAAAAAFlR2KuuI6CgixHwo6GR-vEUvQQ"
"Marketplace","662231239533853","2025-10-02","04:17:00 PM","America/Phoenix","8566136",,"Luna's Loaded Fries","4352 E Speedway Blvd  ","Tucson","AZ","85712","Prepaid Order","Grubhub Delivery","GH+","32.18","2.54","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","34.72","-4.83","-3.22","0.00","-1.27","0.00","0.00","-3.00","0.00","22.40",,"BwEAAAAAAIK1eLUPfWCf3xHwvWEDwHaVx6Q"
"Marketplace","063131158627842","2025-09-24","08:47:00 AM","America/New_York","10929320","E 125th St","The Mexican Cocina","135 E 125th St  ","New York","NY","10035","Prepaid Order","Grubhub Delivery","non GH+","23.06","1.60","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","24.66","-3.46","-2.31","0.00","-0.90","0.00","0.00","-5.00","0.00","12.99",,"BwEAAAAAAKbEqK9SWjCZPRHwmjFpqwUbTmg"
"Marketplace","063131158627842","2025-09-24","08:47:00 AM","America/New_York","10929320","E 125th St","The Mexican Cocina","135 E 125th St  ","New York","NY","10035","Cancellation","Grubhub Delivery","non GH+","-23.06","-1.60","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-24.66","3.46","2.31","0.00","0.90","0.00","0.00","5.00","0.00","-12.99","Cancelled by Merchant","CQMAAAAAAKbEqK9SWjCZPRHwmjFpqwUbTmgAAAAB"
"Marketplace","294631143610441","2025-09-23","07:15:00 PM","America/New_York","9816392","2rd","The Smoothie Squeeze","296 3rd Ave  ","New York","NY","10010","Prepaid Order","Grubhub Delivery","GH+","11.19","0.99","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","12.18","-1.68","-1.12","0.00","-0.67","0.00","0.00","0.00","0.00","8.71",,"BwEAAAAAAJXJSCpoDgKYzxHwjgM9G-tTP2Q"
"Marketplace","574731200100889","2025-09-29","08:36:00 AM","America/New_York","2900807",,"The Omelette Farm (1st Avenue)","1741 1st Avenue  ","New York","NY","10128","Prepaid Order","Grubhub Delivery","non GH+","15.37","1.36","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","16.73","-2.31","-1.54","0.00","-0.81","0.00","0.00","0.00","0.00","12.07",,"BwEAAAAAACxDR-esqqCdLBHwqqG5etVTvD0"
"Marketplace","549431189020102","2025-09-27","08:39:00 AM","America/New_York","2900807",,"The Omelette Farm (1st Avenue)","1741 1st Avenue  ","New York","NY","10128","Prepaid Order","Grubhub Delivery","GH+","15.37","0.92","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","16.29","-2.31","-1.54","0.00","-0.64","0.00","0.00","-5.00","0.00","6.80",,"BwEAAAAAACxDR6fSlPCbmhHwlPEvwA6-ovU"
"Marketplace","242931155077346","2025-09-24","04:39:00 PM","America/New_York","4836096","197 Havemeyer St.","Twin Peaks Burger","197 Havemeyer St  ","Brooklyn","NY","11211","Prepaid Order","Grubhub Delivery","GH+","19.95","1.51","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","21.46","-2.99","-2.00","0.00","-0.86","0.00","0.00","-3.00","0.00","12.61",,"BwEAAAAAAEnLAGFKj8CZghHwj8GlKQ-UPok"
"Marketplace","904231199637624","2025-09-27","09:37:00 PM","America/New_York","9816392","2rd","The Smoothie Squeeze","296 3rd Ave  ","New York","NY","10010","Prepaid Order","Grubhub Delivery","GH+","12.58","1.12","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","13.70","-1.89","-1.26","0.00","-0.72","0.00","0.00","0.00","0.00","9.83",,"BwEAAAAAAJXJSKN5cWCcBRHwsWGhNpHwrqI"
"Marketplace","855831203182390","2025-09-29","05:15:00 PM","America/New_York","2795174",,"Burrito Lovers Bar","59 4th Ave  ","New York","NY","10003","Prepaid Order","Grubhub Delivery","non GH+","17.48","1.16","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","18.64","-2.62","-1.75","0.00","-0.74","0.00","0.00","-4.37","0.00","9.16",,"BwEAAAAAACqmpoXu4HCdcxHwoHHnai-1_VM"
"Marketplace","139331130936856","2025-09-22","04:57:00 PM","America/New_York","3310763","Queens Plaza S","Firenze Pasta Ristorante","25-02 Queens Plaza S  ","Queens","NY","11101","Prepaid Order","Grubhub Delivery","non GH+","19.78","0.59","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","20.37","-2.97","-1.98","0.00","-0.77","0.00","0.00","-5.00","0.00","9.65",,"BwEAAAAAADKEqxjCHeCX8hHwneGV_eO2mtA"
"Marketplace","962831160566178","2025-09-25","12:53:00 PM","America/Chicago","9794808","1401 E Arapaho Rd #F","Ryu's Ramen Bar","1401 E Arapaho Rd  ","Richardson","TX","75081","Prepaid Order","Grubhub Delivery","GH+","25.87","1.89","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","27.76","-3.88","-2.59","0.00","-1.06","0.00","0.00","-3.00","0.00","17.23",,"BwEAAAAAAJV0-GW8JzCaMRHwpzFLztZJYHQ"
