"payout_date","payout_type","distribution_id","short_distribution_id","deposit_id","grubhub_store_id","store_number","store_name","street_address","city","state","postal_code","prepaid_order_count","cash_order_count","cancellation_order_count","order_adjustment_count","on_demand_delivery_fees_count","misc_payment_count","subtotal_sales","cash_order_subtotal_sales_paid_at_store","subtotal_sales_adjustments","subtotal_voided_from_cancellations","subtotal_sales_payout","sales_tax","cash_order_sales_tax_paid_at_store","sales_tax_adjustments","sales_tax_voided_from_cancellations","withheld_sales_tax","disbursed_sales_tax","self_delivery_charge","merchant_service_fee","merchant_flexible_fees","tip","commission","delivery_commission","on_demand_delivery_fee","gh_plus_commission","processing_fee","merchant_funded_promotion","merchant_funded_loyalty","account_adjustments","payout_fee","payout_amount"
"2025-10-03","Month End","AgAAAAGZqHD4gAAAAZmeJECAAAABmZ4kQIDUSjKkGxRIfYwWmF9k-iji",,"AQAAAAAAM3Z1AAABmahw-IAAAAGZniRAgAIAAAGZniRAgA","3372661","456 Grove St.","Chicken Sandwich Loft","456 Grove St  ","Worcester","MA","01605","1","0","0","0","0","0","21.88","0.00","0.00","0.00","21.88","1.06","0.00","0.00","0.00","0.00","1.06","0.00","0.00","0.00","0.00","-3.28","-2.19","0.00","0.00","-0.85","-5.00","0.00","0.00","0.00","11.62"
"2025-09-26","ACH","AQAAAAGZhGR0gAAAAZl6F7yAAAABmXTxYIDY02zan8JFk5iN8aOa0eQQ","25092624aOa0eQQ","AQAAAAAAJfy2AAABmYRkdIAAAAGZehe8gAEAAAGZdPFggA","2489526",,"The Bagel Savage","1404 Madison Ave  ","New York","NY","10029","1","0","0","0","0","0","11.98","0.00","0.00","0.00","11.98","0.80","0.00","0.00","0.00","0.00","0.80","0.00","0.00","0.00","0.00","-1.80","-1.20","0.00","0.00","-0.60","-3.00","0.00","0.00","0.00","6.18"
"2025-09-26","ACH","AQAAAAGZhGR0gAAAAZl6F7yAAAABmXTxYICgkK5nHANDTa_xjDQOzNTG","25092624DQOzNTG","AQAAAAAAMoInAAABmYRkdIAAAAGZehe8gAEAAAGZdPFggA","3310119","E Arapaho Rd #F","Sizzlin' Hibachi","1401 E Arapaho Rd  ","Richardson","TX","75081","2","0","0","0","0","0","44.46","0.00","0.00","0.00","44.46","3.18","0.00","0.00","0.00","0.00","3.18","0.00","0.00","0.00","0.00","-6.67","-4.45","0.00","0.00","-1.87","-6.00","0.00","0.00","0.00","28.65"
"2025-10-03","Month End","AgAAAAGZqHD4gAAAAZmeJECAAAABmZ4kQIBoAistgGZHJ608CjZSLe8M",,"AQAAAAAAptAgAAABmahw-IAAAAGZniRAgAIAAAGZniRAgA","10932256","E McDowell Rd","Olivia's Breakfast Cafe","8770 E McDowell Rd  ","Scottsdale","AZ","85257","1","0","0","0","0","0","16.79","0.00","0.00","0.00","16.79","1.07","0.00","0.00","0.00","0.00","1.07","0.00","0.00","0.00","0.00","-2.52","-1.68","0.00","0.00","-0.69","-5.00","0.00","0.00","0.00","7.97"
"2025-10-03","Month End","AgAAAAGZqHD4gAAAAZmeJECAAAABmZ4kQIDnl8JFfeRIqKO8Jw4Ud9yb",,"AQAAAAAAs-PYAAABmahw-IAAAAGZniRAgAIAAAGZniRAgA","11789272","125th St","Hyde's Grilled Cheese","135 E 125th St  ","New York","NY","10035","1","0","0","0","0","0","23.08","0.00","0.00","0.00","23.08","1.54","0.00","0.00","0.00","0.00","1.54","0.00","0.00","0.00","0.00","-3.46","-2.31","0.00","0.00","-0.87","-5.77","0.00","0.00","0.00","12.21"
"2025-09-26","ACH","AQAAAAGZhGR0gAAAAZl6F7yAAAABmXTxYIDrpBQlDYhO37hPtJaIvTdt","25092624JaIvTdt","AQAAAAAAaTEIAAABmYRkdIAAAAGZehe8gAEAAAGZdPFggA","6893832","Aroma Pizza & Pasta - 20491 Alton Pkwy","Firenze Pasta Ristorante","20491 Alton Pkwy  ","Lake Forest","CA","92610","1","0","0","0","0","0","27.27","0.00","0.00","0.00","27.27","1.46","0.00","0.00","0.00","0.00","1.46","0.00","0.00","0.00","0.00","-4.09","-2.73","0.00","0.00","-1.08","-3.00","0.00","0.00","0.00","17.83"
"2025-10-03","Month End","AgAAAAGZqHD4gAAAAZmeJECAAAABmZ4kQICs0fAVtWpHqojYQEePW81T",,"AQAAAAAAleGgAAABmahw-IAAAAGZniRAgAIAAAGZniRAgA","9822624","30th","Pardon My Panini","34-02 30th St  ","Astoria","NY","11106","2","0","0","0","0","0","66.83","0.00","0.00","0.00","66.83","2.28","0.00","0.00","0.00","0.00","2.28","0.00","0.00","0.00","0.00","-10.03","-6.69","0.00","0.00","-2.40","-10.00","0.00","0.00","0.00","39.99"
"2025-10-03","Month End","AgAAAAGZqHD4gAAAAZmeJECAAAABmZ4kQIDIogG0cbRLu6ks7jxP03m2",,"AQAAAAAASbmIAAABmahw-IAAAAGZniRAgAIAAAGZniRAgA","4831624","1 Kedron Ave Unit 4","The Italian Pasta Bar","1 Kedron Ave Unit 4  ","Morton","PA","19070","2","0","0","0","0","0","69.75","0.00","0.00","0.00","69.75","3.58","0.00","0.00","0.00","-3.58","0.00","0.00","0.00","0.00","0.00","-10.46","-6.98","0.00","0.00","-2.54","-10.00","0.00","0.00","0.00","39.77"
"2025-10-03","Month End","AgAAAAGZqHD4gAAAAZmeJECAAAABmZ4kQIClSyHjJ7BN26htRNAIPcur",,"AQAAAAAALDM-AAABmahw-IAAAAGZniRAgAIAAAGZniRAgA","2896702",,"The Sandwich Doctor","1219 1st Ave  ","New York","NY","10065","1","0","0","0","0","0","16.37","0.00","0.00","0.00","16.37","1.01","0.00","0.00","0.00","0.00","1.01","0.00","0.00","0.00","0.00","-2.46","-1.64","0.00","0.00","-0.68","-5.00","0.00","0.00","0.00","7.60"
"2025-09-26","ACH","AQAAAAGZhGR0gAAAAZl6F7yAAAABmXTxYIAVlgYibS5L1a3Rd4GJG-2B","250926244GJG-2B","AQAAAAAAMoNHAAABmYRkdIAAAAGZehe8gAEAAAGZdPFggA","3310407","E Arapaho Rd #F","Master Yamamoto Ramen Bar","1401 E Arapaho Rd  ","Richardson","TX","75081","8","0","0","0","0","0","239.88","0.00","0.00","0.00","239.88","16.66","0.00","0.00","0.00","0.00","16.66","0.00","0.00","0.00","0.00","-36.00","-24.01","0.00","0.00","-9.06","-38.00","0.00","0.00","0.00","149.47"
"2025-09-26","ACH","AQAAAAGZhGR0gAAAAZl6F7yAAAABmXTxYIDIogG0cbRLu6ks7jxP03m2","25092624jxP03m2","AQAAAAAASbmIAAABmYRkdIAAAAGZehe8gAEAAAGZdPFggA","4831624","1 Kedron Ave Unit 4","The Italian Pasta Bar","1 Kedron Ave Unit 4  ","Morton","PA","19070","1","0","0","0","0","0","27.48","0.00","0.00","0.00","27.48","1.35","0.00","0.00","0.00","-1.35","0.00","0.00","0.00","0.00","0.00","-4.12","-2.75","0.00","0.00","-1.03","-5.00","0.00","0.00","0.00","14.58"
"2025-09-26","ACH","AQAAAAGZhGR0gAAAAZl6F7yAAAABmXTxYIDliMM_gatMaKzoBzJRfWlt","25092624zJRfWlt","AQAAAAAALENHAAABmYRkdIAAAAGZehe8gAEAAAGZdPFggA","2900807",,"The Omelette Farm (1st Avenue)","1741 1st Avenue  ","New York","NY","10128","3","0","0","0","0","0","64.62","0.00","0.00","0.00","64.62","4.94","0.00","0.00","0.00","0.00","4.94","0.00","0.00","0.00","0.00","-9.70","-6.47","0.00","0.00","-2.75","-9.00","0.00","0.00","0.00","41.64"
