Business ID,Business name,Store ID,Store name,Merchant store ID,Payout date,Currency,Channel,Subtotal,Subtotal tax passed to merchant,Customer delivery fee,Customer delivery fee tax,Bag fee,Bottle deposit fee,Bottle deposit fee tax,Staff tip,Courier tip,Commission,Commission tax,Payment processing fee,Alcohol flat fee,Tablet fee,Printer fee,Marketing fees | (including any applicable taxes),Customer discounts from marketing | (funded by you),Customer discounts from marketing | (funded by DoorDash),Customer discounts from marketing | (funded by a third-party),DoorDash marketing credit,Third-party contribution,Error charges,Adjustments,Net total,Subtotal for tax,Subtotal tax remitted by DoorDash to tax authorities,Customer fee tax remitted by DoorDash to tax authorities,Tax remitted by DoorDash on fees DoorDash charges to merchant,Payout ID,Payout status
884543,Chicken Sandwich Loft,31313617,Chicken Sandwich Loft (196 1st Ave),31313617,2025-10-02,USD,Marketplace,45.15,3.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-11.45,0.00,0.00,0.00,0.00,0.00,-0.99,-7.00,0.00,0.00,0.00,0.00,-10.52,0.00,18.58,38.15,0.00,0.00,0.00,518680757,PAID
884543,Chicken Sandwich Loft,31313617,Chicken Sandwich Loft (196 1st Ave),31313617,2025-09-25,USD,Marketplace,15.39,1.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-4.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.14,15.39,0.00,0.00,0.00,516506053,PAID
11080589,Country Southern Diner,31313781,Country Southern Diner (20450 Nordhoff St),31313781,2025-10-02,USD,Marketplace,318.99,29.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-89.51,0.00,0.00,0.00,0.00,0.00,-7.95,-20.65,-8.09,0.00,8.09,0.00,0.00,0.00,229.98,298.34,0.00,0.00,0.00,518430624,PAID
11080589,Country Southern Diner,31313781,Country Southern Diner (20450 Nordhoff St),31313781,2025-09-25,USD,Marketplace,560.59,52.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-162.35,0.00,0.00,0.00,0.00,0.00,-6.96,-19.43,-23.57,0.00,23.57,0.00,0.00,0.00,424.61,541.16,0.00,0.00,0.00,516995410,PAID
11225441,Blake's Dessert Lounge,31313807,Blake's Dessert Lounge (190 Hillside Rd),31313807,2025-10-02,USD,Marketplace,18.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-4.85,0.00,0.00,0.00,0.00,0.00,-3.99,-2.00,0.00,0.00,0.00,0.00,0.00,0.00,7.33,16.17,-1.30,0.00,0.00,518310237,PAID
11225481,Jen's Burger Blaze,31313819,Jen's Burger Blaze (18300 Vanowen Street Suite 3),31313819,2025-10-02,USD,Marketplace,96.49,7.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-27.75,0.00,0.00,0.00,0.00,0.00,-0.99,-4.00,0.00,0.00,0.00,0.00,0.00,0.00,71.61,92.49,0.00,0.00,0.00,518733504,PAID
11225481,Jen's Burger Blaze,31313819,Jen's Burger Blaze (18300 Vanowen Street Suite 3),31313819,2025-09-25,USD,Marketplace,25.17,1.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-6.05,0.00,0.00,0.00,0.00,0.00,-7.48,-5.00,0.00,0.00,1.63,0.00,0.00,0.00,9.98,20.17,0.00,0.00,0.00,516812657,PAID
11818490,Fry Bird Sandwiches,31313869,Fry Bird Sandwiches (370 Main St),31313869,2025-10-02,USD,Marketplace,129.20,7.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-33.89,0.00,0.00,0.00,0.00,0.00,-2.97,-16.26,-18.96,0.00,18.96,0.00,0.00,0.00,83.57,112.94,0.00,0.00,0.00,518486508,PAID
11818490,Fry Bird Sandwiches,31313869,Fry Bird Sandwiches (370 Main St),31313869,2025-09-25,USD,Marketplace,40.55,2.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-9.74,0.00,0.00,0.00,0.00,0.00,-1.98,-8.11,0.00,0.00,0.00,0.00,0.00,0.00,22.87,32.44,0.00,0.00,0.00,516886056,PAID
11225447,Burning Burger Stack,31313915,Burning Burger Stack (1541 Glenn School Rd suite 17),31313915,2025-09-25,USD,Marketplace,60.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-18.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-19.53,0.00,23.06,60.84,-4.56,0.00,0.00,516975099,PAID
11225532,The Fried Chicken Crave,31313963,The Fried Chicken Crave (1338 Polk St),31313963,2025-10-02,USD,Marketplace,184.85,14.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-50.52,0.00,0.00,0.00,0.00,0.00,-27.35,-16.39,0.00,0.00,0.00,0.00,0.00,0.00,105.12,168.46,0.00,0.00,0.00,518590888,PAID
11225532,The Fried Chicken Crave,31313963,The Fried Chicken Crave (1338 Polk St),31313963,2025-09-25,USD,Marketplace,98.92,8.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-29.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77.77,98.92,0.00,0.00,0.00,516571488,PAID
830385,Antonio's Quesadilla Shack,31313981,Antonio's Quesadilla Shack (4352 E Speedway Blvd),31313981,2025-10-02,USD,Marketplace,197.64,15.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-53.85,0.00,0.00,0.00,0.00,0.00,-14.97,-18.13,0.00,0.00,0.00,0.00,-2.24,0.00,124.07,179.51,0.00,0.00,0.00,518586544,PAID
