Timestamp local time,Payout date,Business ID,Business name,Store ID,Store name,Merchant store ID,Transaction type,Delivery UUID,DoorDash transaction ID,DoorDash order ID,Merchant delivery ID,POS order ID,Channel,Description,Error charges,Adjustments
2025-09-30 18:48:55.286267,NULL,11078804,Sasha's Indian Restaurant,1228070,"Sasha's Indian Restaurant (Santa Clara, CA)",NULL,Error Charge,658fe68d-0370-3001-b1fe-c20721ae7204,14757140661,21AE7204,21AE7204,f7f268a1-7975-413f-9c05-937d5def826c,Marketplace,1 Bhaingan Bhartha missing,-10.54,0.00
2025-09-30 00:02:37.870093,NULL,11078804,Sasha's Indian Restaurant,1228070,"Sasha's Indian Restaurant (Santa Clara, CA)",NULL,Adjustment,8aa14a7b-bb14-3001-ad98-cc05503b68e9,14749664182,503B68E9,503B68E9,bdf192fd-075c-4cb4-bdac-9580b19946b6,Marketplace,NULL,0.00,8.67
2025-09-26 19:24:00.503994,2025-10-02,11078804,Sasha's Indian Restaurant,1228070,"Sasha's Indian Restaurant (Santa Clara, CA)",NULL,Error Charge,8aa14a7b-bb14-3001-ad98-cc05503b68e9,14717785919,503B68E9,503B68E9,bdf192fd-075c-4cb4-bdac-9580b19946b6,Marketplace,1 Medium Spicy Butter Chicken incorrect,-8.67,0.00
2025-09-24 18:57:02.573204,2025-10-02,11078804,Sasha's Indian Restaurant,1228070,"Sasha's Indian Restaurant (Santa Clara, CA)",NULL,Error Charge,a9a2d0ee-c63c-3001-a0c5-4e1015a06c8e,14696803489,15A06C8E,15A06C8E,004219e8-18e9-4189-8d13-534c0964cbce,Marketplace,1 Bhaingan Bhartha missing,-10.32,0.00
2025-09-23 17:26:51.934369,2025-10-02,11078804,Sasha's Indian Restaurant,1228070,"Sasha's Indian Restaurant (Santa Clara, CA)",NULL,Error Charge,4fb55e5d-5ab9-3001-a6ad-307d0a7a07b3,14686487136,0A7A07B3,0A7A07B3,bab96921-6e03-43b3-94ee-41b41bbf8212,Marketplace,1 Paneer Tikka Masala incorrect,-5.28,0.00
2025-09-22 13:22:18.817474,2025-10-02,11078804,Sasha's Indian Restaurant,1228070,"Sasha's Indian Restaurant (Santa Clara, CA)",NULL,Error Charge,d16db014-45f8-3001-a855-d72dae303b1f,14674998955,AE303B1F,AE303B1F,9c663ea2-4851-4666-8b38-5262f7198cd5,Marketplace,1 Chicken Tikka Masala incorrect,-8.67,0.00
2025-09-22 06:41:40.248027,2025-10-02,11078804,Sasha's Indian Restaurant,1228070,"Sasha's Indian Restaurant (Santa Clara, CA)",NULL,Adjustment,544599a5-9f36-3001-9eca-df3443f81977,14671973216,43F81977,43F81977,3789a91f-38dd-4afb-92fc-b29054ef34ca,Marketplace,NULL,0.00,7.88
2025-09-22 05:55:14.148602,2025-10-02,11078804,Sasha's Indian Restaurant,1228070,"Sasha's Indian Restaurant (Santa Clara, CA)",NULL,Adjustment,27f1aeff-58bf-3001-8580-8429766d9a7c,14671823565,766D9A7C,766D9A7C,5ea54c42-d784-4105-9d28-69ec8da43a51,Marketplace,NULL,0.00,5.23
2025-10-03 23:43:23.806514,NULL,770453,Prime Burger Lounge,1245290,"Prime Burger Lounge (West Chester, PA)",NULL,Adjustment,NULL,14788529346,NULL,NULL,NULL,NULL,Rebate sales guarantee,0.00,106.70
2025-09-30 03:41:20.494507,NULL,770453,Prime Burger Lounge,1245290,"Prime Burger Lounge (West Chester, PA)",NULL,Adjustment,1bfded4c-18f0-3001-bb86-a7022a18341f,14749723695,2A18341F,2A18341F,a69b2031-bad4-459c-9474-0ddb5f763270,Marketplace,NULL,0.00,13.99
2025-09-24 05:53:26.518856,2025-10-02,770453,Prime Burger Lounge,1245290,"Prime Burger Lounge (West Chester, PA)",NULL,Error Charge,1bfded4c-18f0-3001-bb86-a7022a18341f,14689319784,2A18341F,2A18341F,a69b2031-bad4-459c-9474-0ddb5f763270,Marketplace,1 Double Cheeseburger food quality,-13.99,0.00
2025-09-22 10:01:57.034226,2025-10-02,770453,Prime Burger Lounge,1245290,"Prime Burger Lounge (West Chester, PA)",NULL,Adjustment,dc32aa35-1d1d-3001-9351-76f958ad289f,14672053325,58AD289F,58AD289F,76ede9ed-adc7-4f86-9599-36ddbafc3d64,Marketplace,NULL,0.00,5.98
2025-10-03 05:15:26.603063,NULL,11136775,The Wings Express,1245296,"The Wings Express (West Chester, PA)",NULL,Error Charge,bd1de5e0-92b7-3001-bc15-d0f348acf3b7,14778567543,48ACF3B7,48ACF3B7,8c55adda-df34-4e5e-b9b8-d95882c04c78,Marketplace,1 Chicken Wings missing,-5.75,0.00
2025-09-22 08:56:41.969699,2025-10-02,11136775,The Wings Express,1245296,"The Wings Express (West Chester, PA)",NULL,Adjustment,aa3bbe4f-8735-3001-97b2-cdc2bf492e41,14671827512,BF492E41,BF492E41,f02cf68e-0463-41dc-a7ff-bc81908a4872,Marketplace,NULL,0.00,8.99
2025-10-03 23:43:24.55078,NULL,770453,Prime Burger Lounge,1248514,Prime Burger Lounge,NULL,Adjustment,NULL,14788529469,NULL,NULL,NULL,NULL,Rebate sales guarantee,0.00,17.85
2025-09-24 07:11:09.170394,2025-10-02,609184,The Pancake Snob,1303675,The Pancake Snob (The Bronx),NULL,Adjustment,3c364b62-efa7-3001-86bf-553c2fd339c2,14689408665,2FD339C2,2FD339C2,1f579d13-8394-4f70-9af7-12b634595b88,Marketplace,NULL,0.00,14.59
2025-10-03 23:44:02.007992,NULL,608389,Charlie's Chicken Wings,1332271,Charlie's Chicken Wings (New York),NULL,Adjustment,NULL,14788534811,NULL,NULL,NULL,NULL,Rebate sales guarantee,0.00,83.98
2025-10-03 07:39:29.282604,NULL,608389,Charlie's Chicken Wings,1332271,Charlie's Chicken Wings (New York),NULL,Error Charge,ef9d5a9f-f915-3001-aacc-672257f1b7f3,14778777029,57F1B7F3,57F1B7F3,573adaf6-685a-4f7c-a106-5e76e5bd33bf,Marketplace,1 Chicken Wings missing,-4.68,0.00
2025-10-03 23:44:04.092924,NULL,880375,Olivia's Breakfast Cafe,1339730,"Olivia's Breakfast Cafe (New York, NY)",NULL,Adjustment,NULL,14788535140,NULL,NULL,NULL,NULL,Rebate sales guarantee,0.00,102.61
2025-10-05 22:24:11.110787,NULL,469379,Breakfast Burrito Snob,1340523,"Breakfast Burrito Snob(San Francisco, CA)",NULL,Error Charge,e31c24cf-5a64-3001-a22d-492643cb4cd8,14810162305,43CB4CD8,43CB4CD8,c63f4a9a-4222-420d-98fa-2be3b388c3e5,Marketplace,1 The Green Chilli Breakfast Burrito missing,-2.80,0.00
2025-10-05 10:28:13.662758,NULL,469379,Breakfast Burrito Snob,1340523,"Breakfast Burrito Snob(San Francisco, CA)",NULL,Error Charge,e31c24cf-5a64-3001-a22d-492643cb4cd8,14802891717,43CB4CD8,43CB4CD8,c63f4a9a-4222-420d-98fa-2be3b388c3e5,Marketplace,1 The Green Chilli Breakfast Burrito incorrect,-5.59,0.00
2025-10-05 10:26:51.626342,NULL,469379,Breakfast Burrito Snob,1340523,"Breakfast Burrito Snob(San Francisco, CA)",NULL,Error Charge,1bad6a56-67c9-3001-a678-ed8e58b9651a,14802878955,58B9651A,58B9651A,4f8662cc-72b9-44c5-8f4e-8e39dd02c2e8,Marketplace,1 The Black Bean Breakfast Burrito missing,-11.11,0.00
2025-09-30 00:46:19.128049,NULL,469379,Breakfast Burrito Snob,1340523,"Breakfast Burrito Snob(San Francisco, CA)",NULL,Adjustment,0225c538-dc4c-3001-9c5b-31dd5465ac21,14749730645,5465AC21,5465AC21,d68e5402-bd17-41b5-974f-cc5c4371a560,Marketplace,NULL,0.00,5.92
